"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ADULT-subpages\AnimatedText.jsx", "JavaScript JSX", 60, 0, 1, 11, 72
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ADULT-subpages\EditModalPlayer.css", "CSS", 0, 79, 0, 13, 92
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ADULT-subpages\EditModalPlayer.jsx", "JavaScript JSX", 188, 0, 5, 18, 211
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ADULT-subpages\MainPageOld.css", "CSS", 0, 608, 1, 100, 709
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ADULT-subpages\MatchesTable.css", "CSS", 0, 239, 0, 60, 299
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ADULT-subpages\MatchesTable.jsx", "JavaScript JSX", 342, 0, 8, 30, 380
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ADULT-subpages\Nepoužívat - MainPageOld.jsx", "JavaScript JSX", 298, 0, 12, 39, 349
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ADULT-subpages\NewMainPageOld.jsx", "JavaScript JSX", 350, 0, 2, 42, 394
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ADULT\Adult.css", "CSS", 0, 72, 0, 14, 86
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ADULT\Adult.jsx", "JavaScript JSX", 33, 0, 1, 4, 38
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\AKTUALITY\AddAktualita.jsx", "JavaScript JSX", 157, 0, 9, 30, 196
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\AKTUALITY\AktualityMain.css", "CSS", 0, 703, 15, 146, 864
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\AKTUALITY\AktualityMain.jsx", "JavaScript JSX", 280, 0, 7, 51, 338
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\AKTUALITY\AktualityONE.jsx", "JavaScript JSX", 228, 0, 11, 46, 285
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\AKTUALITY\DeleteAktualita.jsx", "JavaScript JSX", 31, 0, 2, 11, 44
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\AKTUALITY\EditAktualita.jsx", "JavaScript JSX", 168, 0, 8, 29, 205
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\BottomToTop.css", "CSS", 0, 42, 0, 6, 48
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\BottomToTop.jsx", "JavaScript JSX", 36, 0, 4, 12, 52
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\CookieConsentBanner.css", "CSS", 0, 70, 0, 12, 82
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\CookieConsentBanner.jsx", "JavaScript JSX", 59, 0, 6, 20, 85
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\Dropdown.css", "CSS", 0, 41, 0, 6, 47
